"","X1","X2","X3"
"1",NA,NA,NA
"2","aba","aback","aback"
"3","aba","abacus","abacus"
"4","aba","abaft","abaft"
"5","aba","abalone","abalone"
"6","aba","abandon","abandon"
"7","aba","abandonment","abandonment"
"8","aba","abase","abase"
"9","aba","abasement","abasement"
"10","aba","abash","abash"
"11","aba","abashed","abashed"
"12","aba","abashment","abashment"
"13","aba","abate","abate"
"14","aba","abated","abated"
"15","aba","abatement","abatement"
"16","aba","abattoir","abattoir"
"17","aba","alone","abalone"
"18","aba","back","aback"
"19","aba","base","abase"
"20","aba","basement","abasement"
"21","aba","bash","abash"
"22","aba","bate","abate"
"23","aba","lone","abalone"
"24","aba","shed","abashed"
"25","abs","absalom","absalom"
"26","abs","abscess","abscess"
"27","abs","abscissa","abscissa"
"28","abs","abscission","abscission"
"29","abs","abscond","abscond"
"30","abs","absconder","absconder"
"31","abs","abseil","abseil"
"32","abs","absence","absence"
"33","abs","absent","absent"
"34","abs","absentee","absentee"
"35","abs","absenteeism","absenteeism"
"36","abs","absentminded","absentminded"
"37","abs","absentmindedness","absentmindedness"
"38","abs","absinthe","absinthe"
"39","abs","absolute","absolute"
"40","abs","absoluteness","absoluteness"
"41","abs","absolution","absolution"
"42","abs","absolutism","absolutism"
"43","abs","absolutist","absolutist"
"44","abs","absolve","absolve"
"45","abs","absorb","absorb"
"46","abs","absorbance","absorbance"
"47","abs","absorbency","absorbency"
"48","abs","absorbent","absorbent"
"49","abs","absorbing","absorbing"
"50","abs","absorption","absorption"
"51","abs","absorptive","absorptive"
"52","abs","abstain","abstain"
"53","abs","abstainer","abstainer"
"54","abs","abstemious","abstemious"
"55","abs","abstemiousness","abstemiousness"
"56","abs","abstention","abstention"
"57","abs","abstinence","abstinence"
"58","abs","abstinent","abstinent"
"59","abs","abstract","abstract"
"60","abs","abstracted","abstracted"
"61","abs","abstractedness","abstractedness"
"62","abs","abstraction","abstraction"
"63","abs","abstractness","abstractness"
"64","abs","abstruse","abstruse"
"65","abs","abstruseness","abstruseness"
"66","abs","absurd","absurd"
"67","abs","absurdist","absurdist"
"68","abs","absurdity","absurdity"
"69","abs","absurdness","absurdness"
"70","abs","action","abstraction"
"71","abs","bent","absorbent"
"72","abs","dist","absurdist"
"73","abs","ency","absorbency"
"74","abs","lute","absolute"
"75","abs","minded","absentminded"
"76","abs","ruse","abstruse"
"77","abs","sent","absent"
"78","abs","solute","absolute"
"79","abs","solve","absolve"
"80","abs","stain","abstain"
"81","abs","tract","abstract"
"82","abs","traction","abstraction"
"83","act","acth","acth"
"84","act","actaeon","actaeon"
"85","act","acton","acton"
"86","act","acts","acts"
"87","act","ives","actives"
"88","act","ting","acting"
"89","act","able","actionable"
"90","act","act's","act's"
"91","act","acting","acting"
"92","act","actinium","actinium"
"93","act","action","action"
"94","act","actionable","actionable"
"95","act","activate","activate"
"96","act","activation","activation"
"97","act","activator","activator"
"98","act","active's","active's"
"99","act","active","active"
"100","act","activeness","activeness"
"101","act","actives","actives"
"102","act","activism","activism"
"103","act","activist","activist"
"104","act","activities","activities"
"105","act","activity","activity"
"106","act","actor","actor"
"107","act","actress","actress"
"108","act","actual","actual"
"109","act","actuality","actuality"
"110","act","actualization","actualization"
"111","act","actualize","actualize"
"112","act","actuarial","actuarial"
"113","act","actuary","actuary"
"114","act","actuate","actuate"
"115","act","actuation","actuation"
"116","act","actuator","actuator"
"117","act","rial","actuarial"
"118","act","ting","acting"
"119","act","tress","actress"
"120","add","addams","addams"
"121","add","adderley","adderley"
"122","add","addie","addie"
"123","add","addison","addison"
"124","add","able","addressable"
"125","add","addend","addend"
"126","add","addenda","addenda"
"127","add","addendum","addendum"
"128","add","adder","adder"
"129","add","addict","addict"
"130","add","addiction","addiction"
"131","add","addition","addition"
"132","add","additional","additional"
"133","add","additive","additive"
"134","add","addle","addle"
"135","add","address's","address's"
"136","add","address","address"
"137","add","addressable","addressable"
"138","add","addressed","addressed"
"139","add","addressee","addressee"
"140","add","adduce","adduce"
"141","add","dict","addict"
"142","add","diction","addiction"
"143","add","dress","address"
"144","add","sable","addressable"
"145","adm","admiralty","admiralty"
"146","adm","ting","admitting"
"147","adm","tory","admonitory"
"148","adm","adman","adman"
"149","adm","admen","admen"
"150","adm","admin","admin"
"151","adm","administer","administer"
"152","adm","administrate","administrate"
"153","adm","administration","administration"
"154","adm","administrative","administrative"
"155","adm","administrator","administrator"
"156","adm","admirably","admirably"
"157","adm","admiral","admiral"
"158","adm","admiralty","admiralty"
"159","adm","admiration","admiration"
"160","adm","admire","admire"
"161","adm","admirer","admirer"
"162","adm","admiring","admiring"
"163","adm","admissibility","admissibility"
"164","adm","admissible","admissible"
"165","adm","admissibly","admissibly"
"166","adm","admission","admission"
"167","adm","admissions","admissions"
"168","adm","admit","admit"
"169","adm","admittance","admittance"
"170","adm","admitted","admitted"
"171","adm","admitting","admitting"
"172","adm","admix","admix"
"173","adm","admixture","admixture"
"174","adm","admonish","admonish"
"175","adm","admonishment","admonishment"
"176","adm","admonition","admonition"
"177","adm","admonitory","admonitory"
"178","adm","minister","administer"
"179","adm","ministration","administration"
"180","adm","mire","admire"
"181","adm","mission","admission"
"182","adm","mixture","admixture"
"183","adm","monition","admonition"
"184","adm","monitory","admonitory"
"185","adm","rate","administrate"
"186","aba","aback","aback"
"187","aba","abacus","abacus"
"188","aba","abaft","abaft"
"189","aba","abalone","abalone"
"190","aba","abandon","abandon"
"191","aba","abandonment","abandonment"
"192","aba","abase","abase"
"193","aba","abasement","abasement"
"194","aba","abash","abash"
"195","aba","abashed","abashed"
"196","aba","abashment","abashment"
"197","aba","abate","abate"
"198","aba","abated","abated"
"199","aba","abatement","abatement"
"200","aba","abattoir","abattoir"
"201","aba","alone","abalone"
"202","aba","back","aback"
"203","aba","base","abase"
"204","aba","basement","abasement"
"205","aba","bash","abash"
"206","aba","bate","abate"
"207","aba","lone","abalone"
"208","aba","shed","abashed"
"209","abs","absalom","absalom"
"210","abs","abscess","abscess"
"211","abs","abscissa","abscissa"
"212","abs","abscission","abscission"
"213","abs","abscond","abscond"
"214","abs","absconder","absconder"
"215","abs","abseil","abseil"
"216","abs","absence","absence"
"217","abs","absent","absent"
"218","abs","absentee","absentee"
"219","abs","absenteeism","absenteeism"
"220","abs","absentminded","absentminded"
"221","abs","absentmindedness","absentmindedness"
"222","abs","absinthe","absinthe"
"223","abs","absolute","absolute"
"224","abs","absoluteness","absoluteness"
"225","abs","absolution","absolution"
"226","abs","absolutism","absolutism"
"227","abs","absolutist","absolutist"
"228","abs","absolve","absolve"
"229","abs","absorb","absorb"
"230","abs","absorbance","absorbance"
"231","abs","absorbency","absorbency"
"232","abs","absorbent","absorbent"
"233","abs","absorbing","absorbing"
"234","abs","absorption","absorption"
"235","abs","absorptive","absorptive"
"236","abs","abstain","abstain"
"237","abs","abstainer","abstainer"
"238","abs","abstemious","abstemious"
"239","abs","abstemiousness","abstemiousness"
"240","abs","abstention","abstention"
"241","abs","abstinence","abstinence"
"242","abs","abstinent","abstinent"
"243","abs","abstract","abstract"
"244","abs","abstracted","abstracted"
"245","abs","abstractedness","abstractedness"
"246","abs","abstraction","abstraction"
"247","abs","abstractness","abstractness"
"248","abs","abstruse","abstruse"
"249","abs","abstruseness","abstruseness"
"250","abs","absurd","absurd"
"251","abs","absurdist","absurdist"
"252","abs","absurdity","absurdity"
"253","abs","absurdness","absurdness"
"254","abs","action","abstraction"
"255","abs","bent","absorbent"
"256","abs","dist","absurdist"
"257","abs","ency","absorbency"
"258","abs","lute","absolute"
"259","abs","minded","absentminded"
"260","abs","ruse","abstruse"
"261","abs","sent","absent"
"262","abs","solute","absolute"
"263","abs","solve","absolve"
"264","abs","stain","abstain"
"265","abs","tract","abstract"
"266","abs","traction","abstraction"
"267","act","acth","acth"
"268","act","actaeon","actaeon"
"269","act","acton","acton"
"270","act","acts","acts"
"271","act","ives","actives"
"272","act","ting","acting"
"273","act","able","actionable"
"274","act","act's","act's"
"275","act","acting","acting"
"276","act","actinium","actinium"
"277","act","action","action"
"278","act","actionable","actionable"
"279","act","activate","activate"
"280","act","activation","activation"
"281","act","activator","activator"
"282","act","active's","active's"
"283","act","active","active"
"284","act","activeness","activeness"
"285","act","actives","actives"
"286","act","activism","activism"
"287","act","activist","activist"
"288","act","activities","activities"
"289","act","activity","activity"
"290","act","actor","actor"
"291","act","actress","actress"
"292","act","actual","actual"
"293","act","actuality","actuality"
"294","act","actualization","actualization"
"295","act","actualize","actualize"
"296","act","actuarial","actuarial"
"297","act","actuary","actuary"
"298","act","actuate","actuate"
"299","act","actuation","actuation"
"300","act","actuator","actuator"
"301","act","rial","actuarial"
"302","act","ting","acting"
"303","act","tress","actress"
"304","add","addams","addams"
"305","add","adderley","adderley"
"306","add","addie","addie"
"307","add","addison","addison"
"308","add","able","addressable"
"309","add","addend","addend"
"310","add","addenda","addenda"
"311","add","addendum","addendum"
"312","add","adder","adder"
"313","add","addict","addict"
"314","add","addiction","addiction"
"315","add","addition","addition"
"316","add","additional","additional"
"317","add","additive","additive"
"318","add","addle","addle"
"319","add","address's","address's"
"320","add","address","address"
"321","add","addressable","addressable"
"322","add","addressed","addressed"
"323","add","addressee","addressee"
"324","add","adduce","adduce"
"325","add","dict","addict"
"326","add","diction","addiction"
"327","add","dress","address"
"328","add","sable","addressable"
"329","adm","admiralty","admiralty"
"330","adm","ting","admitting"
"331","adm","tory","admonitory"
"332","adm","adman","adman"
"333","adm","admen","admen"
"334","adm","admin","admin"
"335","adm","administer","administer"
"336","adm","administrate","administrate"
"337","adm","administration","administration"
"338","adm","administrative","administrative"
"339","adm","administrator","administrator"
"340","adm","admirably","admirably"
"341","adm","admiral","admiral"
"342","adm","admiralty","admiralty"
"343","adm","admiration","admiration"
"344","adm","admire","admire"
"345","adm","admirer","admirer"
"346","adm","admiring","admiring"
"347","adm","admissibility","admissibility"
"348","adm","admissible","admissible"
"349","adm","admissibly","admissibly"
"350","adm","admission","admission"
"351","adm","admissions","admissions"
"352","adm","admit","admit"
"353","adm","admittance","admittance"
"354","adm","admitted","admitted"
"355","adm","admitting","admitting"
"356","adm","admix","admix"
"357","adm","admixture","admixture"
"358","adm","admonish","admonish"
"359","adm","admonishment","admonishment"
"360","adm","admonition","admonition"
"361","adm","admonitory","admonitory"
"362","adm","minister","administer"
"363","adm","ministration","administration"
"364","adm","mire","admire"
"365","adm","mission","admission"
"366","adm","mixture","admixture"
"367","adm","monition","admonition"
"368","adm","monitory","admonitory"
"369","adm","rate","administrate"
"370","adm","ration","admiration"
"371","adm","ration","administration"
"372","adm","ring","admiring"
"373","adm","ting","admitting"
"374","aft","care","aftercare"
"375","aft","ives","afterlives"
"376","aft","ward","afterward"
"377","aft","afterbirth","afterbirth"
"378","aft","afterbirths","afterbirths"
"379","aft","afterburner","afterburner"
"380","aft","aftercare","aftercare"
"381","aft","aftereffect","aftereffect"
"382","aft","afterglow","afterglow"
"383","aft","afterimage","afterimage"
"384","aft","afterlife","afterlife"
"385","aft","afterlives","afterlives"
"386","aft","aftermarket","aftermarket"
"387","aft","aftermath","aftermath"
"388","aft","aftermaths","aftermaths"
"389","aft","afternoon","afternoon"
"390","aft","aftershave","aftershave"
"391","aft","aftershock","aftershock"
"392","aft","aftertaste","aftertaste"
"393","aft","afterthought","afterthought"
"394","aft","afterward","afterward"
"395","aft","afterword","afterword"
"396","aft","birth","afterbirth"
"397","aft","births","afterbirths"
"398","aft","burner","afterburner"
"399","aft","care","aftercare"
"400","aft","effect","aftereffect"
"401","aft","glow","afterglow"
"402","aft","have","aftershave"
"403","aft","hock","aftershock"
"404","aft","image","afterimage"
"405","aft","life","afterlife"
"406","aft","mage","afterimage"
"407","aft","market","aftermarket"
"408","aft","noon","afternoon"
"409","aft","ought","afterthought"
"410","aft","shave","aftershave"
"411","aft","shock","aftershock"
"412","aft","taste","aftertaste"
"413","aft","thought","afterthought"
"414","aft","ward","afterward"
"415","aft","word","afterword"
"416","ama","amadeus","amadeus"
"417","ama","amado","amado"
"418","ama","amalia","amalia"
"419","ama","amanda","amanda"
"420","ama","amarillo","amarillo"
"421","ama","amaru","amaru"
"422","ama","amaterasu","amaterasu"
"423","ama","amati","amati"
"424","ama","amazon","amazon"
"425","ama","amazonian","amazonian"
"426","ama","mass","amass"
"427","ama","tory","amatory"
"428","ama","amalgam","amalgam"
"429","ama","amalgamate","amalgamate"
"430","ama","amalgamation","amalgamation"
"431","ama","amanuenses","amanuenses"
"432","ama","amanuensis","amanuensis"
"433","ama","amaranth","amaranth"
"434","ama","amaranths","amaranths"
"435","ama","amaretto","amaretto"
"436","ama","amaryllis","amaryllis"
"437","ama","amass","amass"
"438","ama","amateur","amateur"
"439","ama","amateurish","amateurish"
"440","ama","amateurishness","amateurishness"
"441","ama","amateurism","amateurism"
"442","ama","amatory","amatory"
"443","ama","amaze","amaze"
"444","ama","amazement","amazement"
"445","ama","amazing","amazing"
"446","ama","amazon","amazon"
"447","ama","amazonian","amazonian"
"448","ama","mass","amass"
"449","ama","mate","amalgamate"
"450","ama","maze","amaze"
"451","ama","zing","amazing"
"452","api","apia","apia"
"453","api","apiarist","apiarist"
"454","api","apiary","apiary"
"455","api","apical","apical"
"456","api","apiece","apiece"
"457","api","apish","apish"
"458","api","piece","apiece"
"459","apo","apocalypse","apocalypse"
"460","apo","apocrypha","apocrypha"
"461","apo","apollinaire","apollinaire"
"462","apo","apollo","apollo"
"463","apo","apollonian","apollonian"
"464","apo","apostle","apostle"
"465","apo","cary","apothecary"
"466","apo","oses","apotheoses"
"467","apo","tate","apostate"
"468","apo","ally","apologetically"
"469","apo","apocalypse","apocalypse"
"470","apo","apocalyptic","apocalyptic"
"471","apo","apocrypha","apocrypha"
"472","apo","apocryphal","apocryphal"
"473","apo","apogee","apogee"
"474","apo","apolitical","apolitical"
"475","apo","apologetic","apologetic"
"476","apo","apologetically","apologetically"
"477","apo","apologia","apologia"
"478","apo","apologist","apologist"
"479","apo","apologize","apologize"
"480","apo","apology","apology"
"481","apo","apoplectic","apoplectic"
"482","apo","apoplexy","apoplexy"
"483","apo","apoptosis","apoptosis"
"484","apo","apoptotic","apoptotic"
"485","apo","apostasy","apostasy"
"486","apo","apostate","apostate"
"487","apo","apostatize","apostatize"
"488","apo","apostle","apostle"
"489","apo","apostleship","apostleship"
"490","apo","apostolic","apostolic"
"491","apo","apostrophe","apostrophe"
"492","apo","apothecary","apothecary"
"493","apo","apothegm","apothegm"
"494","apo","apotheoses","apotheoses"
"495","apo","apotheosis","apotheosis"
"496","apo","gist","apologist"
"497","apo","logy","apology"
"498","apo","political","apolitical"
"499","apo","ship","apostleship"
"500","apo","state","apostate"
"501","apo","strophe","apostrophe"
"502","apr","april","april"
"503","apr","apricot","apricot"
"504","apr","apron","apron"
"505","apr","apropos","apropos"
"506","arc","angel","archangel"
"507","arc","arcadia","arcadia"
"508","arc","arcadian","arcadian"
"509","arc","archean","archean"
"510","arc","archibald","archibald"
"511","arc","archie","archie"
"512","arc","archimedes","archimedes"
"513","arc","arctic","arctic"
"514","arc","arcturus","arcturus"
"515","arc","bishop","archbishop"
"516","arc","duke","archduke"
"517","arc","episcopal","archiepiscopal"
"518","arc","hess","archduchess"
"519","arc","opal","archiepiscopal"
"520","arc","ural","architectural"
"521","arc","ally","archaically"
"522","arc","angel","archangel"
"523","arc","arcade","arcade"
"524","arc","arcane","arcane"
"525","arc","arch","arch"
"526","arc","archaeological","archaeological"
"527","arc","archaeologist","archaeologist"
"528","arc","archaeology","archaeology"
"529","arc","archaic","archaic"
"530","arc","archaically","archaically"
"531","arc","archaism","archaism"
"532","arc","archaist","archaist"
"533","arc","archangel","archangel"
"534","arc","archbishop","archbishop"
"535","arc","archbishopric","archbishopric"
"536","arc","archdeacon","archdeacon"
"537","arc","archdiocesan","archdiocesan"
"538","arc","archdiocese","archdiocese"
"539","arc","archduchess","archduchess"
"540","arc","archduke","archduke"
"541","arc","archenemy","archenemy"
"542","arc","archer","archer"
"543","arc","archery","archery"
"544","arc","archetypal","archetypal"
"545","arc","archetype","archetype"
"546","arc","archfiend","archfiend"
"547","arc","archiepiscopal","archiepiscopal"
"548","arc","archipelago","archipelago"
"549","arc","architect","architect"
"550","arc","architectonic","architectonic"
"551","arc","architectonics","architectonics"
"552","arc","architectural","architectural"
"553","arc","architecture","architecture"
"554","arc","architrave","architrave"
"555","arc","archival","archival"
"556","arc","archive","archive"
"557","arc","archivist","archivist"
"558","arc","archness","archness"
"559","arc","archway","archway"
"560","arc","arctic","arctic"
"561","arc","bald","archibald"
"562","arc","bishop","archbishop"
"563","arc","bishopric","archbishopric"
"564","arc","cane","arcane"
"565","arc","chess","archduchess"
"566","arc","chive","archive"
"567","arc","deacon","archdeacon"
"568","arc","diocesan","archdiocesan"
"569","arc","diocese","archdiocese"
"570","arc","duchess","archduchess"
"571","arc","duke","archduke"
"572","arc","enemy","archenemy"
"573","arc","episcopal","archiepiscopal"
"574","arc","fiend","archfiend"
"575","arc","gist","archaeologist"
"576","arc","hive","archive"
"577","arc","logical","archaeological"
"578","arc","logy","archaeology"
"579","arc","opal","archiepiscopal"
"580","arc","rave","architrave"
"581","arc","shop","archbishop"
"582","arc","tectonic","architectonic"
"583","arc","tectonics","architectonics"
"584","arc","tonic","architectonic"
"585","arc","type","archetype"
"586","asl","aslant","aslant"
"587","asl","asleep","asleep"
"588","asl","slant","aslant"
"589","asl","sleep","asleep"
"590","atm","atman","atman"
"591","atm","eric","atmospheric"
"592","atm","ally","atmospherically"
"593","atm","atmosphere","atmosphere"
"594","atm","atmospheric","atmospheric"
"595","atm","atmospherically","atmospherically"
"596","atm","atmospherics","atmospherics"
"597","atm","here","atmosphere"
"598","atm","sphere","atmosphere"
"599","avi","avicenna","avicenna"
"600","avi","avignon","avignon"
"601","avi","avila","avila"
"602","avi","avior","avior"
"603","avi","avis","avis"
"604","avi","ionic","avionic"
"605","avi","vila","avila"
"606","avi","avian","avian"
"607","avi","aviary","aviary"
"608","avi","aviation","aviation"
"609","avi","aviator","aviator"
"610","avi","aviatrices","aviatrices"
"611","avi","aviatrix","aviatrix"
"612","avi","avid","avid"
"613","avi","avidity","avidity"
"614","avi","avionic","avionic"
"615","avi","avionics","avionics"
"616","avi","avitaminosis","avitaminosis"
"617","avi","ionic","avionic"
"618","azt","aztec","aztec"
"619","azt","aztecan","aztecan"
"620","azt","aztlan","aztlan"
"621","abbas","abbasid","abbasid"
"622","abe","abel","abel"
"623","abe","abelard","abelard"
"624","abe","abelson","abelson"
"625","abe","aberdeen","aberdeen"
"626","abe","abernathy","abernathy"
"627","abe","ting","abetting"
"628","abe","abeam","abeam"
"629","abe","aberrant","aberrant"
"630","abe","aberration","aberration"
"631","abe","aberrational","aberrational"
"632","abe","abet","abet"
"633","abe","abetted","abetted"
"634","abe","abetting","abetting"
"635","abe","abettor","abettor"
"636","abe","abeyance","abeyance"
"637","abe","beam","abeam"
"638","abe","betting","abetting"
"639","abe","bettor","abettor"
"640","abe","errant","aberrant"
"641","abe","lard","abelard"
"642","abe","rant","aberrant"
"643","abe","ration","aberration"
"644","abe","rational","aberrational"
"645","abe","ting","abetting"
"646","abel","abelard","abelard"
"647","abel","abelson","abelson"
"648","abram","abrams","abrams"
"649","abyssinia","abyssinian","abyssinian"
"650","ada","adam","adam"
"651","ada","adams","adams"
"652","ada","adan","adan"
"653","ada","adana","adana"
"654","ada","adar","adar"
"655","ada","dana","adana"
"656","ada","ability","adaptability"
"657","ada","adage","adage"
"658","ada","adagio","adagio"
"659","ada","adamant","adamant"
"660","ada","adapt","adapt"
"661","ada","adaptability","adaptability"
"662","ada","adaptation","adaptation"
"663","ada","adapter","adapter"
"664","ada","adaption","adaption"
"665","ada","apter","adapter"
"666","adam","adams","adams"
"667","adam","adamant","adamant"
"668","adan","adana","adana"
"669","adela","adelaide","adelaide"
"670","aden","adenauer","adenauer"
"671","aden","adenine","adenine"
"672","aden","adenocarcinoma","adenocarcinoma"
"673","aden","adenoid","adenoid"
"674","aden","adenoidal","adenoidal"
"675","aden","carcinoma","adenocarcinoma"
"676","adirondack","adirondacks","adirondacks"
"677","adolf","adolfo","adolfo"
"678","adrenalin","adrenalin's","adrenalin's"
"679","adrenalin","adrenaline","adrenaline"
"680","adrian","adriana","adriana"
"681","advent","adventist","adventist"
"682","advent","adventitious","adventitious"
"683","advent","adventure","adventure"
"684","advent","adventurer","adventurer"
"685","advent","adventuresome","adventuresome"
"686","advent","adventuress","adventuress"
"687","advent","adventurism","adventurism"
"688","advent","adventurist","adventurist"
"689","advent","adventurous","adventurous"
"690","advent","adventurousness","adventurousness"
"691","advent","venture","adventure"
"692","advent","venturesome","adventuresome"
"693","advent","venturous","adventurous"
"694","advent","venturousness","adventurousness"
"695","afghan","afghani","afghani"
"696","afghan","afghanistan","afghanistan"
"697","afghani","afghanistan","afghanistan"
"698","afr","africa","africa"
"699","afr","african","african"
"700","afr","afrikaans","afrikaans"
"701","afr","afrikaner","afrikaner"
"702","afr","afro","afro"
"703","afr","afrocentric","afrocentric"
"704","afr","afrocentrism","afrocentrism"
"705","afr","afraid","afraid"
"706","afr","afresh","afresh"
"707","afr","centrism","afrocentrism"
"708","afr","fresh","afresh"
"709","afr","raid","afraid"
"710","africa","african","african"
"711","afro","afrocentric","afrocentric"
"712","afro","afrocentrism","afrocentrism"
"713","afro","centrism","afrocentrism"
"714","agassi","agassiz","agassiz"
"715","agra","arianism","agrarianism"
"716","agra","agrarian","agrarian"
